Evaluated At UTC,Evaluated At EPT,Forecast Hour Beginning UTC,Forecast Hour Beginning EPT,Forecast Area,Forecast Load MW
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T05:00:00,2024-07-02T01:00:00,RTO,75914
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,AEP,11917
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,AEP,11950
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,AEP,11950
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,AEP,11950
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,AEP,11893
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,APS,4319
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,APS,4353
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,APS,4353
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,APS,4353
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,APS,4352
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,COMED,8699
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,COMED,8776
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,COMED,8776
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,COMED,8776
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,COMED,8802
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DEOK,2317
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DEOK,2313
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DEOK,2313
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DEOK,2313
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DEOK,2284
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DOM,11474
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DOM,11551
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DOM,11551
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DOM,11551
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DOM,11436
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DAY,1515
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DAY,1510
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DAY,1510
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DAY,1510
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DAY,1473
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DUQ,1201
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DUQ,1204
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DUQ,1204
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DUQ,1204
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,DUQ,1230
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,EKPC,1170
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,EKPC,1166
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,EKPC,1166
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,EKPC,1166
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,EKPC,1157
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,ATSI,6107
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,ATSI,6080
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,ATSI,6080
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,ATSI,6080
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,ATSI,6144
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T06:00:00,2024-07-02T02:00:00,MIDATL,24157
