Datetime Beginning UTC,Datetime Beginning EPT,Pnode ID,Pnode Name,Voltage,Equipment,Type,Zone,System Energy Price RT,Total LMP RT,Congestion Price RT,Marginal Loss Price RT,Row Is Current,Version Number
2024-08-02T04:00:00,2024-08-02T00:00:00,48751,BEAVERBR,230 KV,T-1,LOAD,PSEG,40.400000,35.750000,-5.450000,0.810000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48752,BEAVERBR,230 KV,T-2,LOAD,PSEG,40.400000,35.750000,-5.450000,0.810000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48765,CLARKSVI,230 KV,T-1,LOAD,PSEG,40.400000,34.990000,-6.300000,0.900000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48766,CLARKSVI,230 KV,T-2,LOAD,PSEG,40.400000,34.990000,-6.300000,0.900000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48773,DEPTFORD,230 KV,T-1,LOAD,PSEG,40.400000,35.830000,-5.400000,0.830000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48774,DEPTFORD,230 KV,T-2,LOAD,PSEG,40.400000,35.830000,-5.400000,0.830000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48780,HOPECREE,500 KV,SLP_1 NC,LOAD,PSEG,40.400000,35.500000,-5.050000,0.160000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48781,HOPECREE,500 KV,SLP_2 NC,LOAD,PSEG,40.400000,35.500000,-5.050000,0.160000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48782,HOPECREE,500 KV,SLP_3 NC,LOAD,PSEG,40.400000,35.500000,-5.050000,0.160000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48783,HOPECREE,500 KV,SLP_4 NC,LOAD,PSEG,40.400000,35.500000,-5.050000,0.160000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48784,KUSERRD,230 KV,T-1,LOAD,PSEG,40.400000,35.260000,-6.070000,0.940000,true,1
2024-08-02T04:00:00,2024-08-02T00:00:00,48785,KUSERRD,230 KV,T-2,LOAD,PSEG,40.400000,35.180000,-6.150000,0.940000,true,1
