Evaluated At UTC,Evaluated At EPT,Forecast Hour Beginning UTC,Forecast Hour Beginning EPT,Forecast Area,Forecast Load MW
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DEOK,3148
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DEOK,3148
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DEOK,3148
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DOM,15359
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DOM,15437
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DOM,15444
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DOM,15444
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DOM,15444
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DAY,2086
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DAY,2071
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DAY,2068
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DAY,2068
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DAY,2068
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DUQ,1779
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DUQ,1788
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DUQ,1792
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DUQ,1792
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,DUQ,1792
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,EKPC,1538
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,EKPC,1518
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,EKPC,1525
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,EKPC,1525
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,EKPC,1525
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,ATSI,8207
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,ATSI,8194
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,ATSI,8196
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,ATSI,8196
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,ATSI,8196
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,MIDATL,35348
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,MIDATL,35445
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,MIDATL,35482
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,MIDATL,35482
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,MIDATL,35482
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,RTO,100075
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,RTO,100120
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,RTO,100140
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,RTO,100140
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T05:00:00,2024-08-02T01:00:00,RTO,100140
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,AEP,14613
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,AEP,14527
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,AEP,14529
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,AEP,14529
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,AEP,14529
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,APS,5319
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,APS,5342
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,APS,5354
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,APS,5354
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,APS,5354
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,COMED,11205
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,COMED,11201
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,COMED,11156
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,COMED,11156
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,COMED,11156
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DEOK,3037
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DEOK,3014
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DEOK,3013
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DEOK,3013
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DEOK,3013
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DOM,14793
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DOM,14860
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DOM,14868
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DOM,14868
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DOM,14868
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DAY,1987
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DAY,1973
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DAY,1970
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DAY,1970
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DAY,1970
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DUQ,1697
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DUQ,1705
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DUQ,1708
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DUQ,1708
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,DUQ,1708
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,EKPC,1439
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,EKPC,1424
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,EKPC,1430
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,EKPC,1430
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,EKPC,1430
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,ATSI,7868
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,ATSI,7858
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,ATSI,7860
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,ATSI,7860
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,ATSI,7860
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,MIDATL,33770
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,MIDATL,33851
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,MIDATL,33883
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,MIDATL,33883
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,MIDATL,33883
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,RTO,95728
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,RTO,95755
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,RTO,95771
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,RTO,95771
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T06:00:00,2024-08-02T02:00:00,RTO,95771
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,AEP,14279
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,AEP,14192
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,AEP,14192
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,AEP,14192
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,AEP,14192
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,APS,5186
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,APS,5204
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,APS,5216
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,APS,5216
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,APS,5216
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,COMED,10718
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,COMED,10725
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,COMED,10678
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,COMED,10678
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,COMED,10678
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DEOK,2945
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DEOK,2923
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DEOK,2921
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DEOK,2921
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DEOK,2921
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DOM,14418
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DOM,14478
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DOM,14485
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DOM,14485
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DOM,14485
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DAY,1924
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DAY,1911
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DAY,1908
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DAY,1908
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DAY,1908
2024-08-01T09:45:00,2024-08-01T05:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DUQ,1647
2024-08-01T13:45:00,2024-08-01T09:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DUQ,1652
2024-08-01T15:45:00,2024-08-01T11:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DUQ,1655
2024-08-01T21:45:00,2024-08-01T17:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DUQ,1655
2024-08-02T03:45:00,2024-08-01T23:45:00,2024-08-02T07:00:00,2024-08-02T03:00:00,DUQ,1655
